CustomerID,CustomerPhoneNumber
463546,528-666-2219
667772,866-448-8894
262538,624-288-0990
59197,545-677-8153
428990,605-864-1079
402161,637-358-8559
953207,034-486-2859
864539,879-056-1517
947590,253-787-0684
272655,307-132-7317
678450,939-589-0882
739699,945-288-5798
929572,161-877-5017
916124,205-190-3869
674529,749-018-3219
365584,138-302-7092
916251,403-740-4897
518698,373-664-0375
933566,407-853-5948
4386,261-288-3375
766113,854-721-1826
438942,508-606-9567
746927,515-672-7678
861656,578-043-6985
710071,313-359-9438
277673,867-883-6833
305754,518-601-7721
785902,718-562-8975
295003,393-639-1620
946901,888-496-7681
928788,412-562-4979
844396,132-311-5442
308911,212-830-3346
466166,259-793-8724
165508,963-958-4186
798110,198-071-8773
610565,755-005-2403
590395,294-892-4552
285896,988-774-8467
207594,877-167-2688
624348,593-976-5464
923937,657-429-0093
186956,887-936-1223
778828,463-485-2676
291583,528-471-2827
559047,169-229-8369
750562,473-992-1119
420519,439-943-9822
138192,576-743-0565
939843,084-178-7548
354075,905-518-0860
570060,902-196-9992
142871,482-057-6033
76894,162-528-8206
975000,418-687-0245
852532,631-788-4321
975859,308-107-2446
932400,908-910-9025
64507,007-825-5087
37317,160-769-6678
781448,970-384-0057
631446,626-869-5928
320750,602-197-2803
700187,182-125-3278
325677,504-848-2904
135408,127-813-9108
464627,346-254-9756
286426,676-368-2183
77290,402-250-0965
85333,636-878-4018
723389,124-757-9118
144878,958-063-3350
638422,170-230-0128
382906,791-294-7101
897511,807-296-1141
485326,987-980-8910
919750,690-190-0302
589237,997-398-7746
250437,524-364-2013
640699,868-373-4938
3628,397-789-6914
129399,702-627-4278
181911,023-244-0037
865881,424-895-4713
479556,659-133-7197
43064,221-433-4926
733651,724-524-4646
837172,517-026-6748
421526,176-736-4214
613040,471-461-3078
803539,488-940-8568
331509,717-787-1895
160098,530-576-4810
807171,186-921-2649
139958,049-610-3234
611086,819-095-2153
463800,496-180-3248
350672,108-282-5879
217838,394-360-0590
444175,573-881-2540
110408,653-599-9409
806091,084-923-9225
851679,055-013-8012
691481,633-660-4705
326968,138-697-2324
642739,388-852-3265
988191,405-805-3741
