CustomerID,CustomerPhoneNumber
726506,676-070-3029
730031,285-791-8988
197483,456-017-3553
440329,111-801-5118
539634,798-815-1180
280918,506-114-6195
632932,480-292-8633
698745,051-690-3041
320299,428-189-3922
403610,561-345-5583
840875,216-735-9965
561893,604-020-0591
293724,933-303-6816
356978,438-215-1163
440509,616-614-5318
676326,467-140-6704
142493,464-106-1154
849291,262-022-3724
714681,136-987-1228
880919,813-543-2447
683884,016-257-3229
535713,500-297-1371
415345,011-637-7245
855015,240-197-5273
957825,184-868-3987
641669,026-444-4242
981723,984-479-2165
346043,401-036-3209
34092,104-703-3260
506044,922-911-4413
117271,702-711-3492
631783,453-225-7275
659639,925-648-9199
944693,315-566-7588
290519,806-725-9722
414255,492-742-8672
274345,119-309-4843
286429,944-604-5169
370543,773-757-7150
348041,291-331-1674
700255,832-367-5069
20454,428-194-4767
459573,901-265-8344
395325,388-414-9188
501331,271-833-4653
896413,900-855-7794
741045,095-593-7541
208166,451-615-7111
555724,129-203-9463
588652,311-401-2813
219630,567-291-1217
786340,185-673-9112
3465,647-420-0095
774361,636-646-1440
808052,330-795-1750
123107,620-550-9005
362894,085-563-4676
129269,771-510-4306
663830,186-706-0245
662215,547-611-3339
540490,931-725-0619
811475,686-955-5700
910621,654-001-9380
252292,130-840-1196
619807,925-283-4966
857127,350-631-9258
807686,246-205-0782
18019,727-567-3955
945547,714-751-5811
531671,116-291-7882
397006,119-347-8668
46624,009-621-6092
933693,094-008-7577
948750,860-456-8199
478524,422-359-1864
307412,971-612-4289
572304,003-568-9757
954823,823-041-7987
217705,086-653-7938
282633,828-536-7435
975685,796-795-7034
805557,003-574-1839
3030,946-823-4102
564778,482-761-1024
293571,071-731-3281
623984,808-221-2947
202832,352-477-1269
644946,192-176-4282
77751,232-969-6064
43874,399-621-3054
323984,805-250-9601
247450,212-731-3977
562088,401-992-2206
386387,741-690-3936
41296,149-556-0589
982739,067-615-0864
185058,637-983-9134
913475,468-932-1934
251143,102-309-3321
930568,644-769-2660
